Date,Website country,User Country,Device Category,Site visits,Bookings,Booking Tool visits
2022-09-12,US,DE,desktop,1224,32,487
2022-09-23,IT,IT,mobile,1224,18,911
2022-09-14,US,DE,desktop,1221,35,491
2022-09-21,NO,NO,mobile,1219,31,815
2022-09-13,US,DE,desktop,1199,34,486
2022-09-27,US,DE,desktop,1187,26,501
2022-09-08,US,DE,desktop,1181,34,475
2022-09-10,NO,NO,mobile,1176,35,787
2022-09-10,IT,IT,desktop,1175,68,876
2022-09-20,US,DE,desktop,1174,31,455
2022-09-17,NL,US,desktop,1160,76,572
2022-09-15,US,DE,desktop,1154,36,470
2022-09-22,US,DE,desktop,1154,43,444
2022-09-18,NL,US,desktop,1149,75,631
2022-09-22,NL,US,desktop,1143,70,586
2022-09-27,NL,US,desktop,1140,103,612
2022-09-26,NL,US,desktop,1138,76,606
2022-09-28,NL,US,desktop,1123,105,651
2022-09-07,NL,US,desktop,1110,84,587
2022-08-25,NL,US,desktop,1104,65,541
2022-09-02,NL,US,desktop,1102,76,573
2022-08-26,NL,US,desktop,1085,80,530
2022-09-29,NL,US,desktop,1079,83,561
2022-09-28,US,DE,desktop,1073,36,433
2022-09-11,NL,US,desktop,1067,69,628
2022-09-29,US,DE,desktop,1066,31,415
2022-09-04,NL,US,desktop,1035,68,596
2022-08-28,NL,US,desktop,1033,64,608
2022-09-21,US,DE,desktop,1023,27,385
2022-09-23,NL,US,desktop,1008,55,516
2022-09-17,US,DE,mobile,1006,5,233
2022-09-23,US,DE,desktop,1001,35,374
2022-09-07,US,DE,desktop,996,20,368
2022-09-16,US,DE,desktop,970,29,354
2022-09-09,US,DE,desktop,944,35,365
2022-09-18,US,DE,mobile,934,4,245
2022-09-12,US,DE,mobile,927,11,226
2022-09-03,NL,US,desktop,921,55,515
2022-09-25,NL,US,desktop,915,64,536
2022-09-25,US,DE,mobile,908,10,258
2022-09-25,US,DE,desktop,891,37,370
2022-09-18,US,DE,desktop,887,24,350
2022-09-16,US,DE,mobile,876,7,195
2022-09-08,US,DE,mobile,874,7,225
2022-09-10,NL,US,desktop,857,51,487
2022-09-11,US,DE,mobile,851,8,213
2022-09-29,US,DE,mobile,847,10,179
2022-08-27,NL,US,desktop,844,74,428
2022-09-13,US,DE,mobile,826,10,223
2022-09-11,US,DE,desktop,824,15,338
2022-09-19,US,DE,mobile,811,3,176
2022-09-26,US,DE,mobile,811,5,219
2022-09-11,NL,NL,tablet,801,26,544
2022-09-23,US,DE,mobile,799,6,202
2022-09-09,US,DE,mobile,798,3,183
2022-09-10,US,DE,mobile,786,6,201
2022-09-26,US,NO,desktop,777,22,388
2022-09-28,US,DE,mobile,777,14,217
2022-08-28,NL,NL,tablet,767,31,488
2022-09-27,US,DE,mobile,765,10,200
2022-09-12,US,NO,desktop,763,20,386
2022-09-15,US,DE,mobile,763,11,175
2022-09-18,NL,NL,tablet,756,19,470
2022-09-04,NL,NL,tablet,753,22,491
2022-09-19,US,NO,desktop,748,28,354
2022-09-22,US,DE,mobile,746,9,220
2022-09-14,US,DE,mobile,739,6,200
2022-09-08,NL,NL,tablet,735,20,506
2022-09-24,US,DE,mobile,734,4,210
2022-09-20,US,DE,mobile,727,6,184
2022-09-13,US,NO,desktop,724,13,346
2022-09-17,NL,NL,tablet,719,11,399
2022-09-14,US,NO,desktop,713,21,364
2022-09-17,US,DE,desktop,703,17,270
2022-09-24,NL,US,desktop,698,44,363
2022-09-21,US,DE,mobile,697,10,173
2022-09-27,US,NO,desktop,682,26,313
