Date,Website country,User Country,Device Category,Site visits,Bookings,Booking Tool visits
2022-09-15,NO,NO,mobile,1293,37,853
2022-09-27,NO,NO,mobile,1276,37,825
2022-09-22,NO,NO,mobile,1270,22,873
2022-09-23,NO,NO,mobile,1266,28,791
2022-09-15,NL,US,desktop,1264,85,668
2022-08-28,IT,IT,desktop,1263,63,934
2022-09-01,NL,US,desktop,1257,97,660
2022-08-22,NL,US,desktop,1253,96,710
2022-09-05,NL,US,desktop,1252,72,701
2022-09-02,NO,NO,mobile,1250,33,854
2022-08-27,IT,IT,desktop,1249,62,894
2022-08-26,NO,NO,mobile,1246,31,865
2022-08-29,NL,US,desktop,1246,89,690
2022-09-21,NL,US,desktop,1246,105,674
2022-09-24,IT,IT,desktop,1240,67,881
2022-09-24,NO,NO,mobile,1240,24,792
2022-09-28,NO,NO,mobile,1239,20,804
2022-09-29,NO,NO,mobile,1237,29,793
2022-09-26,US,DE,desktop,1233,31,477
2022-09-09,NL,US,desktop,1232,99,714
2022-09-09,NO,NO,mobile,1230,28,796
2022-09-19,NL,US,desktop,1229,69,663
2022-09-19,US,DE,desktop,1226,29,469
2022-09-18,IT,IT,desktop,1225,60,923
